time,action,isGCD,castTime
-4.740000000000002,彩虹点滴,1,4
-0.6275000000000013,爆发药,0,0
0.0,重锤构想,0,0
0.5500000000000007,绒球构想,0,0
1.2662499999999994,翅膀彩绘,1,3
4.37875,星空构想,0,0
5.272500000000001,重锤敲章,1,0
5.822500000000002,减色混合,0,0
7.778750000000006,冰结之蓝青,1,1.725
10.253750000000007,飞石之纯黄,1,1.725
12.728750000000005,闪雷之品红,1,1.725
15.203750000000007,彗星之黑,1,0
15.753750000000004,翅膀构想,0,0
16.30375,莫古力激流,0,0
17.678749999999994,天星棱光,1,0
19.553749999999994,重锤掠刷,1,0
22.059999999999995,重锤抛光,1,0
24.566249999999997,彩虹点滴,1,0
25.116249999999994,即刻咏唱,0,0
27.072499999999998,神圣之白,1,0
29.578749999999992,神圣之白,1,0
32.08499999999999,彩虹点滴,1,0
38.09124999999999,重锤彩绘,1,3
42.09749999999999,兽爪彩绘,1,3
46.10374999999999,星空彩绘,1,3
58.21624999999999,重锤构想,0,0
79.93699999999998,重锤敲章,1,0
80.48699999999998,兽爪构想,0,0
81.03699999999998,昏乱,0,0
82.44324999999999,重锤掠刷,1,0
84.94949999999999,重锤抛光,1,0
87.45574999999998,尖牙彩绘,1,3
91.46199999999999,火炎之红,1,1.5
93.96825,疾风之绿,1,1.5
96.47449999999999,流水之蓝,1,1.5
98.98075,火炎之红,1,1.5
101.48700000000001,疾风之绿,1,1.5
103.0995,即刻咏唱,0,0
103.99324999999999,流水之蓝,1,0
106.49949999999998,火炎之红,1,1.5
109.00574999999998,疾风之绿,1,1.5
111.51199999999997,流水之蓝,1,1.5
113.12449999999998,减色混合,0,0
114.01825,重锤彩绘,1,3
117.13075,重锤构想,0,0
118.02450000000002,冰结之蓝青,1,2.3
120.43700000000004,尖牙构想,0,0
121.33075000000002,绒球彩绘,1,3
124.44325000000006,星空构想,0,0
125.33700000000007,飞石之纯黄,1,1.725
127.8120000000001,闪雷之品红,1,1.725
130.28700000000015,彗星之黑,1,0
