time,action,isGCD,castTime
-4.740000000000002,Rainbow Drip,1,4
-0.6275000000000013,Tincture,0,0
0,Striking Muse,0,0
0.5500000000000007,Pom Muse,0,0
1.2662499999999994,Wing Motif,1,3
4.37875,Starry Muse,0,0
5.272500000000001,Hammer Stamp,1,0
5.822500000000002,Subtractive Palette,0,0
7.778750000000006,Blizzard in Cyan,1,1.725
10.253750000000007,Stone in Yellow,1,1.725
12.728750000000005,Thunder in Magenta,1,1.725
15.203750000000007,Comet in Black,1,0
15.753750000000004,Winged Muse,0,0
16.30375,Mog of the Ages,0,0
17.678749999999994,Star Prism,1,0
19.553749999999994,Hammer Brush,1,0
22.059999999999995,Polishing Hammer,1,0
24.566249999999997,Rainbow Drip,1,0
25.116249999999994,Swiftcast,0,0
27.072499999999998,Holy in White,1,0
29.578749999999992,Holy in White,1,0
32.08499999999999,Rainbow Drip,1,0
38.09124999999999,Hammer Motif,1,3
42.09749999999999,Claw Motif,1,3
46.10374999999999,Starry Sky Motif,1,3
58.21624999999999,Striking Muse,0,0
79.93699999999998,Hammer Stamp,1,0
80.48699999999998,Clawed Muse,0,0
81.03699999999998,Addle,0,0
82.44324999999999,Hammer Brush,1,0
84.94949999999999,Polishing Hammer,1,0
87.45574999999998,Maw Motif,1,3
91.46199999999999,Fire in Red,1,1.5
93.96825,Aero in Green,1,1.5
96.47449999999999,Water in Blue,1,1.5
98.98075,Fire in Red,1,1.5
101.48700000000001,Aero in Green,1,1.5
103.0995,Swiftcast,0,0
103.99324999999999,Water in Blue,1,0
106.49949999999998,Fire in Red,1,1.5
109.00574999999998,Aero in Green,1,1.5
111.51199999999997,Water in Blue,1,1.5
113.12449999999998,Subtractive Palette,0,0
114.01825,Hammer Motif,1,3
117.13075,Striking Muse,0,0
118.02450000000002,Blizzard in Cyan,1,2.3
120.43700000000004,Fanged Muse,0,0
121.33075000000002,Pom Motif,1,3
124.44325000000006,Starry Muse,0,0
125.33700000000007,Stone in Yellow,1,1.725
127.8120000000001,Thunder in Magenta,1,1.725
130.28700000000015,Comet in Black,1,0
130.83700000000016,Retribution of the Madeen,0,0
131.38700000000017,Subtractive Palette,0,0
132.76200000000014,Blizzard in Cyan,1,1.725
135.23700000000014,Star Prism,1,0
135.78700000000015,Pom Muse,0,0
137.11200000000014,Hammer Stamp,1,0
139.61825000000013,Hammer Brush,1,0
142.12450000000013,Polishing Hammer,1,0
144.63075000000012,Rainbow Drip,1,0
147.13700000000017,Comet in Black,1,0
150.44325000000018,Wing Motif,1,3
153.5557500000002,Winged Muse,0,0
154.4495000000002,Hammer Motif,1,3
157.5620000000002,Striking Muse,0,0
158.45575000000022,Claw Motif,1,3
162.86825000000016,Hammer Stamp,1,0
163.41825000000017,Mog of the Ages,0,0
163.96825000000018,Clawed Muse,0,0
165.3745000000002,Hammer Brush,1,0
167.88075000000026,Blizzard in Cyan,1,2.3
171.18700000000024,Stone in Yellow,1,2.3
174.49325000000024,Water in Blue,1,1.5
176.99950000000027,Polishing Hammer,1,0
179.5057500000003,Fire in Red,1,1.5
182.0120000000003,Aero in Green,1,1.5
184.5182500000003,Water in Blue,1,1.5
186.13075000000032,Subtractive Palette,0,0
187.02450000000033,Blizzard in Cyan,1,2.3
190.33075000000034,Comet in Black,1,0
190.88075000000035,Swiftcast,0,0
193.63700000000034,Holy in White,1,0
196.14325000000036,Rainbow Drip,1,0
202.1495000000004,Hammer Motif,1,3
206.1557500000004,Starry Sky Motif,1,3
210.16200000000046,Maw Motif,1,3
230.8807500000004,Swiftcast,0,0
235.19599999999997,Blizzard in Cyan,1,0
235.74599999999998,Striking Muse,0,0
236.296,Fanged Muse,0,0
238.50225,Pom Motif,1,3
242.50849999999997,Stone in Yellow,1,2.3
244.921,Starry Muse,0,0
245.81475,Hammer Stamp,1,0
246.36475000000002,Subtractive Palette,0,0
248.32099999999997,Thunder in Magenta,1,1.725
250.796,Blizzard in Cyan,1,1.725
253.27100000000002,Stone in Yellow,1,1.725
255.74599999999998,Comet in Black,1,0
256.296,Retribution of the Madeen,0,0
256.846,Pom Muse,0,0
258.221,Star Prism,1,0
260.096,Hammer Brush,1,0
262.60225,Polishing Hammer,1,0
265.10850000000005,Rainbow Drip,1,0
267.6147500000001,Water in Blue,1,1.5
270.1210000000001,Fire in Red,1,1.5
272.6272500000001,Aero in Green,1,1.5
274.2397500000001,Smudge,0,0
275.1335,Water in Blue,1,1.5
277.63975000000005,Fire in Red,1,1.5
280.1460000000001,Aero in Green,1,1.5
282.65225,Water in Blue,1,1.5
285.1585,Holy in White,1,0
285.7085,Subtractive Palette,0,0
287.66475,Blizzard in Cyan,1,2.3
290.07725000000005,Swiftcast,0,0
290.97100000000006,Rainbow Drip,1,0
296.97725,Hammer Motif,1,3
300.08975000000004,Striking Muse,0,0
300.98350000000005,Wing Motif,1,3
304.9897500000001,Starry Sky Motif,1,3
323.79600000000005,Hammer Stamp,1,0
326.3022500000001,Hammer Brush,1,0
328.80850000000004,Polishing Hammer,1,0
331.31475,Blizzard in Cyan,1,2.3
333.72725,Winged Muse,0,0
334.621,Stone in Yellow,1,2.3
337.03349999999995,Mog of the Ages,0,0
337.92724999999996,Water in Blue,1,1.5
340.4335,Claw Motif,1,3
343.546,Clawed Muse,0,0
344.43975,Comet in Black,1,0
347.74600000000027,Hammer Motif,1,3
350.8585000000002,Swiftcast,0,0
351.75225000000023,Maw Motif,1,0
367.9959999999999,Tincture,0,0
368.54599999999994,Striking Muse,0,0
369.79600000000005,Starry Muse,0,0
370.34600000000006,Hammer Stamp,1,0
372.85225000000014,Hammer Brush,1,0
373.40225000000015,Fanged Muse,0,0
373.95225000000016,Retribution of the Madeen,0,0
375.35850000000016,Polishing Hammer,1,0
375.9085000000002,Subtractive Palette,0,0
377.8647500000002,Blizzard in Cyan,1,1.725
380.33975000000015,Stone in Yellow,1,1.725
382.8147500000002,Thunder in Magenta,1,1.725
385.28975000000014,Star Prism,1,0
387.16475000000014,Comet in Black,1,0
389.63975000000016,Rainbow Drip,1,0
392.1460000000002,Fire in Red,1,1.5
394.6522500000002,Holy in White,1,0
397.15850000000023,Holy in White,1,0
399.6647500000002,Aero in Green,1,1.5
402.1710000000003,Water in Blue,1,1.5
404.67725000000024,Holy in White,1,0
405.22725000000025,Subtractive Palette,0,0
407.18350000000027,Blizzard in Cyan,1,2.3
409.5960000000003,Swiftcast,0,0
410.4897500000003,Rainbow Drip,1,0
